DATE,MNFCTRIRNSA
1992-01-01,1.79
1992-02-01,1.63
1992-03-01,1.51
1992-04-01,1.58
1992-05-01,1.56
1992-06-01,1.43
1992-07-01,1.70
1992-08-01,1.60
1992-09-01,1.46
1992-10-01,1.51
1992-11-01,1.54
1992-12-01,1.51
1993-01-01,1.68
1993-02-01,1.53
1993-03-01,1.43
1993-04-01,1.53
1993-05-01,1.52
1993-06-01,1.40
1993-07-01,1.70
1993-08-01,1.54
1993-09-01,1.41
1993-10-01,1.45
1993-11-01,1.48
1993-12-01,1.47
1994-01-01,1.62
1994-02-01,1.48
1994-03-01,1.38
1994-04-01,1.47
1994-05-01,1.45
1994-06-01,1.34
1994-07-01,1.64
1994-08-01,1.43
1994-09-01,1.35
1994-10-01,1.40
1994-11-01,1.42
1994-12-01,1.40
1995-01-01,1.54
1995-02-01,1.43
1995-03-01,1.35
1995-04-01,1.46
1995-05-01,1.45
1995-06-01,1.34
1995-07-01,1.65
1995-08-01,1.44
1995-09-01,1.35
1995-10-01,1.41
1995-11-01,1.44
1995-12-01,1.43
1996-01-01,1.62
1996-02-01,1.48
1996-03-01,1.39
1996-04-01,1.46
1996-05-01,1.41
1996-06-01,1.33
1996-07-01,1.58
1996-08-01,1.42
1996-09-01,1.32
1996-10-01,1.38
1996-11-01,1.40
1996-12-01,1.40
1997-01-01,1.53
1997-02-01,1.40
1997-03-01,1.31
1997-04-01,1.38
1997-05-01,1.39
1997-06-01,1.27
1997-07-01,1.51
1997-08-01,1.37
1997-09-01,1.26
1997-10-01,1.32
1997-11-01,1.37
1997-12-01,1.34
1998-01-01,1.53
1998-02-01,1.39
1998-03-01,1.29
1998-04-01,1.40
1998-05-01,1.40
1998-06-01,1.30
1998-07-01,1.57
1998-08-01,1.41
1998-09-01,1.29
1998-10-01,1.35
1998-11-01,1.40
1998-12-01,1.35
1999-01-01,1.52
1999-02-01,1.38
1999-03-01,1.27
1999-04-01,1.37
1999-05-01,1.36
1999-06-01,1.24
1999-07-01,1.51
1999-08-01,1.33
1999-09-01,1.25
1999-10-01,1.32
1999-11-01,1.35
1999-12-01,1.32
2000-01-01,1.47
2000-02-01,1.37
2000-03-01,1.24
2000-04-01,1.37
2000-05-01,1.33
2000-06-01,1.23
2000-07-01,1.52
2000-08-01,1.35
2000-09-01,1.27
2000-10-01,1.35
2000-11-01,1.41
2000-12-01,1.37
2001-01-01,1.54
2001-02-01,1.44
2001-03-01,1.30
2001-04-01,1.46
2001-05-01,1.35
2001-06-01,1.29
2001-07-01,1.53
2001-08-01,1.33
2001-09-01,1.33
2001-10-01,1.33
2001-11-01,1.37
2001-12-01,1.33
2002-01-01,1.44
2002-02-01,1.38
2002-03-01,1.23
2002-04-01,1.29
2002-05-01,1.24
2002-06-01,1.21
2002-07-01,1.40
2002-08-01,1.25
2002-09-01,1.21
2002-10-01,1.23
2002-11-01,1.30
2002-12-01,1.30
2003-01-01,1.37
2003-02-01,1.35
2003-03-01,1.19
2003-04-01,1.31
2003-05-01,1.26
2003-06-01,1.18
2003-07-01,1.33
2003-08-01,1.23
2003-09-01,1.15
2003-10-01,1.16
2003-11-01,1.25
2003-12-01,1.18
2004-01-01,1.30
2004-02-01,1.25
2004-03-01,1.09
2004-04-01,1.19
2004-05-01,1.18
2004-06-01,1.11
2004-07-01,1.29
2004-08-01,1.16
2004-09-01,1.13
2004-10-01,1.16
2004-11-01,1.20
2004-12-01,1.15
2005-01-01,1.28
2005-02-01,1.26
2005-03-01,1.11
2005-04-01,1.19
2005-05-01,1.16
2005-06-01,1.09
2005-07-01,1.28
2005-08-01,1.12
2005-09-01,1.09
2005-10-01,1.14
2005-11-01,1.17
2005-12-01,1.13
2006-01-01,1.26
2006-02-01,1.25
2006-03-01,1.09
2006-04-01,1.23
2006-05-01,1.14
2006-06-01,1.11
2006-07-01,1.30
2006-08-01,1.16
2006-09-01,1.21
2006-10-01,1.24
2006-11-01,1.28
2006-12-01,1.23
2007-01-01,1.35
2007-02-01,1.34
2007-03-01,1.16
2007-04-01,1.24
2007-05-01,1.18
2007-06-01,1.15
2007-07-01,1.29
2007-08-01,1.17
2007-09-01,1.20
2007-10-01,1.18
2007-11-01,1.23
2007-12-01,1.23
2008-01-01,1.31
2008-02-01,1.29
2008-03-01,1.21
2008-04-01,1.21
2008-05-01,1.18
2008-06-01,1.13
2008-07-01,1.22
2008-08-01,1.21
2008-09-01,1.22
2008-10-01,1.26
2008-11-01,1.46
2008-12-01,1.40
2009-01-01,1.59
2009-02-01,1.56
2009-03-01,1.40
2009-04-01,1.46
2009-05-01,1.44
2009-06-01,1.31
2009-07-01,1.42
2009-08-01,1.34
2009-09-01,1.28
2009-10-01,1.30
2009-11-01,1.36
2009-12-01,1.27
2010-01-01,1.40
2010-02-01,1.41
2010-03-01,1.21
2010-04-01,1.27
2010-05-01,1.27
2010-06-01,1.21
2010-07-01,1.32
2010-08-01,1.25
2010-09-01,1.23
2010-10-01,1.27
2010-11-01,1.32
2010-12-01,1.26
2011-01-01,1.38
2011-02-01,1.39
2011-03-01,1.18
2011-04-01,1.29
2011-05-01,1.27
2011-06-01,1.21
2011-07-01,1.35
2011-08-01,1.24
2011-09-01,1.25
2011-10-01,1.29
2011-11-01,1.33
2011-12-01,1.29
2012-01-01,1.39
2012-02-01,1.35
2012-03-01,1.22
2012-04-01,1.31
2012-05-01,1.25
2012-06-01,1.25
2012-07-01,1.37
2012-08-01,1.26
2012-09-01,1.29
2012-10-01,1.27
2012-11-01,1.33
2012-12-01,1.31
2013-01-01,1.39
2013-02-01,1.39
2013-03-01,1.25
2013-04-01,1.31
2013-05-01,1.26
2013-06-01,1.25
2013-07-01,1.33
2013-08-01,1.26
2013-09-01,1.26
2013-10-01,1.26
2013-11-01,1.32
2013-12-01,1.28
2014-01-01,1.39
2014-02-01,1.40
2014-03-01,1.24
2014-04-01,1.30
2014-05-01,1.28
2014-06-01,1.24
2014-07-01,1.33
2014-08-01,1.28
2014-09-01,1.26
2014-10-01,1.28
2014-11-01,1.41
2014-12-01,1.32
2015-01-01,1.50
2015-02-01,1.49
2015-03-01,1.30
2015-04-01,1.37
2015-05-01,1.38
2015-06-01,1.30
2015-07-01,1.43
2015-08-01,1.38
2015-09-01,1.34
2015-10-01,1.38
2015-11-01,1.46
2015-12-01,1.41
2016-01-01,1.58
2016-02-01,1.49
2016-03-01,1.33
2016-04-01,1.43
2016-05-01,1.40
2016-06-01,1.31
2016-07-01,1.50
2016-08-01,1.36
2016-09-01,1.34
2016-10-01,1.39
2016-11-01,1.44
2016-12-01,1.36
2017-01-01,1.50
2017-02-01,1.49
2017-03-01,1.29
2017-04-01,1.42
2017-05-01,1.34
2017-06-01,1.29
2017-07-01,1.46
2017-08-01,1.32
2017-09-01,1.34
2017-10-01,1.35
2017-11-01,1.38
2017-12-01,1.37
2018-01-01,1.46
2018-02-01,1.47
2018-03-01,1.28
2018-04-01,1.38
2018-05-01,1.31
2018-06-01,1.27
2018-07-01,1.41
2018-08-01,1.29
2018-09-01,1.32
2018-10-01,1.30
2018-11-01,1.38
2018-12-01,1.36
2019-01-01,1.47
2019-02-01,1.47
2019-03-01,1.31
2019-04-01,1.38
2019-05-01,1.33
2019-06-01,1.33
2019-07-01,1.43
2019-08-01,1.35
2019-09-01,1.36
2019-10-01,1.35
2019-11-01,1.44
2019-12-01,1.39
2020-01-01,1.50
2020-02-01,1.48
2020-03-01,1.39
2020-04-01,1.70
2020-05-01,1.65
2020-06-01,1.42
2020-07-01,1.48
2020-08-01,1.40
2020-09-01,1.37
2020-10-01,1.37
2020-11-01,1.45
2020-12-01,1.36
2021-01-01,1.48
